record_date,devs_1dau,devs_7dau,devs_28dau
2021-01-08,2376,6459,14548
2021-01-09,1213,6684,14705
2021-01-10,1289,6816,14787
2021-01-11,2606,7056,14872
2021-01-12,2720,7259,14980
2021-01-13,2751,7490,15102
2021-01-14,2622,7551,15117
2021-01-15,2553,7609,15209
2021-01-16,1315,7690,15383
2021-01-17,1401,7743,15554
2021-01-18,2652,7849,15765
2021-01-19,2751,7890,15896
2021-01-20,2772,7861,16053
2021-01-21,2739,7873,16320
2021-01-22,2658,7830,16645
2021-01-23,1249,7855,16764
2021-01-24,1298,7760,16875
2021-01-25,2648,7713,17056
2021-01-26,2582,7676,17226
2021-01-27,2759,7669,17433
2021-01-28,2808,7668,17708
2021-01-29,2596,7621,18015
2021-01-30,1273,7624,18179
2021-01-31,1401,7676,18315
2021-02-01,2862,7814,18508
2021-02-02,2817,7897,18639
2021-02-03,2875,7949,18770
2021-02-04,2916,7956,18856
2021-02-05,2766,7976,18868
2021-02-06,1267,8001,18841
2021-02-07,1487,8013,18852
2021-02-08,2860,8035,18929
2021-02-09,2869,8067,18959
2021-02-10,2782,8064,18947
2021-02-11,2595,8014,18992
2021-02-12,2304,7792,18851
2021-02-13,1206,7799,18846
2021-02-14,1237,7699,18761
2021-02-15,2436,7570,18683
2021-02-16,2674,7431,18685
2021-02-17,2833,7401,18710
2021-02-18,2882,7507,18752
2021-02-19,2716,7636,18712
2021-02-20,1440,7736,18738
2021-02-21,1509,7908,18854
2021-02-22,3062,8213,19011
2021-02-23,3040,8370,19116
2021-02-24,3151,8458,19233
2021-02-25,3099,8448,19278
2021-02-26,2907,8480,19344
2021-02-27,1416,8521,19405
2021-02-28,1502,8522,19442
2021-03-01,3152,8602,19500
2021-03-02,3316,8738,19627
2021-03-03,3208,8814,19738
2021-03-04,3240,8902,19815
2021-03-05,3037,8920,19839
2021-03-06,1483,8975,19958
2021-03-07,1555,9012,19988
2021-03-08,3250,9091,20113
2021-03-09,3347,9120,20183
2021-03-10,3399,9184,20337
2021-03-11,3346,9244,20474
2021-03-12,3053,9155,20634
2021-03-13,1396,9173,20695
2021-03-14,1540,9202,20802
2021-03-15,3298,9316,21069
2021-03-16,3199,9337,21232
2021-03-17,3240,9284,21333
2021-03-18,3356,9214,21432
2021-03-19,3196,9283,21607
2021-03-20,1501,9407,21730
2021-03-21,1642,9436,21803
2021-03-22,3487,9509,21969
2021-03-23,3477,9616,22132
2021-03-24,3417,9696,22196
2021-03-25,3333,9611,22248
2021-03-26,3130,9530,22354
2021-03-27,1465,9526,22403
2021-03-28,1541,9529,22407
2021-03-29,3190,9452,22422
2021-03-30,3338,9367,22418
2021-03-31,3351,9386,22437
2021-04-01,3098,9256,22370
2021-04-02,2381,9008,22284
2021-04-03,1438,9026,22311
2021-04-04,1437,8980,22297
2021-04-05,2628,8824,22242
2021-04-06,3467,8922,22287
2021-04-07,3556,8938,22310
2021-04-08,3485,9069,22321
2021-04-09,3226,9246,22346
2021-04-10,1597,9346,22400
2021-04-11,1649,9442,22412
2021-04-12,3600,9822,22459
2021-04-13,3364,9925,22510
2021-04-14,3560,9947,22646
2021-04-15,3628,9941,22719
2021-04-16,3472,10050,22779
2021-04-17,1622,10111,22821
2021-04-18,1719,10144,22877
2021-04-19,3614,10193,22901
2021-04-20,3644,10270,22964
2021-04-21,3420,10187,22994
2021-04-22,3530,10117,23031
2021-04-23,3295,9930,22998
2021-04-24,1652,9980,23073
2021-04-25,1936,10073,23203
2021-04-26,3721,10143,23371
2021-04-27,3731,10215,23484
2021-04-28,3803,10293,23501
2021-04-29,3613,10296,23564
2021-04-30,3418,10347,23781
2021-05-01,1562,10344,23887
2021-05-02,1793,10367,24017
2021-05-03,3437,10420,24286
2021-05-04,3645,10418,24418
